ID,Department Name,Parent Department/External ID
100000-101078-103632-100418-101376-101534-102151,CSB/VIC/VictoriaCtrSCC,100000-101078-103632-100418-101376-101534
100000-101078-103632-100418-101376-101534-101955,CSB/PPT/Victoria/A,100000-101078-103632-100418-101376-101534
100000-101078-103632-100418-101376-101534-101956,CSB/PPT/Victoria/B,100000-101078-103632-100418-101376-101534
100000-101078-103632-100418-100471,CS (W-T)/GIN BC,100000-101078-103632-100418
100000-101078-103632-100418-100471-100472,CS (W-T)/GIN/Central,100000-101078-103632-100418-100471
100000-101078-103632-100418-100471-100472-100515,CSB/GIN/North/KamloopsSCC,100000-101078-103632-100418-100471-100472
100000-101078-103632-100418-100471-100472-100509,CSB/GIN/North/PrncGeorgeSCC,100000-101078-103632-100418-100471-100472
100000-101078-103632-100418-100471-100473,CS (W-T)/GIN/South,100000-101078-103632-100418-100471
100000-101078-103632-100418-100471-100473-100516,CSB/GIN/South/KelownaSCC,100000-101078-103632-100418-100471-100473
100000-101078-103632-100418-100471-100473-101946,CSB/PPT/Kelowna/B,100000-101078-103632-100418-100471-100473
100000-101078-103632-100418-100471-100473-100518,CSB/GIN/South/Penticton/SCC,100000-101078-103632-100418-100471-100473
100000-101078-103632-100418-100470-101381-101949,CSB/PPT/Richmond/C,100000-101078-103632-100418
100000-101078-103632-100418-100470-101381-101947,CSB/PPT/Richmond/A,100000-101078-103632-100418
100000-101078-103632-100418-100333,CS (W-T)-Southwest and Norther,100000-101078-103632-100418
100000-101078-103632-100418-100333-100364,CS (W-T)-Southwest and Norther,100000-101078-103632-100418-100333
100000-101078-103632-100418-100333-100364-100334,CSB/MBSW/BrandonSCC,100000-101078-103632-100418-100333-100364
100000-101078-103632-100418-100333-100364-100332,CSB/MBSW/SwanRvrSCC,100000-101078-103632-100418-100333-100364
100000-101078-103632-100418-100333-100364-100344,CSB/MBSW/ThompsonSCC,100000-101078-103632-100418-100333-100364
100000-101078-103632-100418-100333-100364-100327,CSB/MBSW/MordenSCC,100000-101078-103632-100418-100333-100364
100000-101078-103632-100418-100468-100352-101782,CSB/WpgSE/WpgSelkirkSCC,100000-101078-103632-100418
100000-101078-103632-100418-100468-100352-100330,CSB/WpgSE/WpgSWBSCC,100000-101078-103632-100418
100000-101078-103632-100418-100468,CS (W-T)-Winnipeg and Southeas,100000-101078-103632-100418
100000-101078-103632-100418-100468-101424,CSB/WpgSE/RU,100000-101078-103632-100418-100468
100000-101078-103632-100418-100468-101424-105668,CSB/WpgSE/WpgNESCC,100000-101078-103632-100418-100468-101424
100000-101078-103632-100418-100468-100352-101781,CSB/WpgSE/WpgStVitalSCC,100000-101078-103632-100418
100000-101078-103632-100418-100468-101464-101850,CSB/PPT/Wpg/C,100000-101078-103632-100418
100000-101078-103632-100418-100469,CS (W-T)/Southern Saskatchewan,100000-101078-103632-100418
100000-101078-103632-100418-100469-101324,CS (W-T)/Southern Saskatchewan,100000-101078-103632-100418-100469
100000-101078-103632-100418-100469-101324-101844,CSB/PPT/Regina/,100000-101078-103632-100418-100469-101324
100000-101078-103632-100418-100469-101324-100366,CSB/SKS/EstevanSCC,100000-101078-103632-100418-100469-101324
100000-101078-103632-100418-100469-101324-105286,Moose Jaw Team 2 French,100000-101078-103632-100418-100469-101324
