ID,Department Name,Parent Department/External ID
icaad_strategic_support_team-h,ICAAD Strategic Support Team-H,active_monitoring_and_quality_assurance
strategic_support_team,Strategic Support Team,active_monitoring_and_quality_assurance
corporate_accounting,Corporate Accounting,integrated_corporate_accounting_and_accountability
cppoas_accnt__dept_fin_cod-a,CPP&OAS Accnt & Dept Fin Cod-A,corporate_accounting
cppoas_accnt__dept_fin_cod-d,CPP&OAS Accnt & Dept Fin Cod-D,cppoas_accnt__dept_fin_cod-a
cppoas_accnt__dept_fin_cod-b,CPP&OAS Accnt & Dept Fin Cod-B,cppoas_accnt__dept_fin_cod-a
cppoas_accnt__dept_fin_cod-e,CPP&OAS Accnt & Dept Fin Cod-E,cppoas_accnt__dept_fin_cod-a
departmental_accounting-a,Departmental Accounting-A,corporate_accounting
publ_accnts__special_proj-b,Publ. Accnts. & Special Proj-B,departmental_accounting-a
stdnt_loan__ar_accntg-c,Stdnt Loan & A/R Accntg-C,departmental_accounting-a
departmental_accounting-f,Departmental Accounting-F,departmental_accounting-a
publ_accnts__special_proj,Publ. Accnts. & Special Proj.,corporate_accounting
publ_accnts__special_proj-a,Publ. Accnts. & Special Proj-A,publ_accnts__special_proj
departmental_accounting-d,Departmental Accounting-D,publ_accnts__special_proj
cppoas_accnt,CPP&OAS Accnt,publ_accnts__special_proj
stdnt_loan__ar_accntg-f,Stdnt Loan & A/R Accntg-F,cppoas_accnt
stdnt_loan__ar_accntg,Stdnt Loan & A/R Accntg,corporate_accounting
cpp__oas_accounting-a,CPP & OAS Accounting-A,stdnt_loan__ar_accntg
stdnt_loan__ar_accntg-e,Stdnt Loan & A/R Accntg-E,cpp__oas_accounting-a
stdnt_loan__ar_accntg-a,Stdnt Loan & A/R Accntg-A,stdnt_loan__ar_accntg
stdnt_loan__ar_accntg-d,Stdnt Loan & A/R Accntg-D,stdnt_loan__ar_accntg-a
stdnt_loan__ar_accntg-b,Stdnt Loan & A/R Accntg-B,stdnt_loan__ar_accntg
ar__loans_accounting_rc,A/R & loans Accounting RC,corporate_accounting
financial_policy_and_internal_control,Financial Policy and Internal Control,integrated_corporate_accounting_and_accountability
financial_policy_-h,Financial Policy -H,financial_policy_and_internal_control
financial_policy-f,Financial Policy-F,financial_policy_-h
financial_policy-a,Financial Policy-A,financial_policy-f
financial_policy-c,Financial Policy-C,financial_policy-a
financial_policy_-i,Financial Policy -I,financial_policy_-h
financial_policy-g,Financial Policy-G,financial_policy_-i
financial_policy,Financial Policy,financial_policy_-i
integr_corp_actg_accountblty-d,Integr Corp Actg Accountblty-D,financial_policy_-h
financial_policy-b,Financial Policy-B,financial_policy_-h
internal_control-b,Internal Control-B,financial_policy_and_internal_control
internal_control_-e,Internal Control -E,financial_policy_and_internal_control
national_accounts_payable,National Accounts Payable,integrated_corporate_accounting_and_accountability
nhq_ntnl_accnts_payable-c,"NHQ, Ntnl Accnts Payable-C",national_accounts_payable
nhq_ntnl_accnts_payable_-a,"NHQ, Ntnl Accnts Payable -A",nhq_ntnl_accnts_payable-c
nhq_ntnl_accnts_payable-p,"NHQ, Ntnl Accnts Payable-P",nhq_ntnl_accnts_payable_-a
